id,first_name,last_name,email,username,401k_balance,stock_market
1,Sutton,Holcroft,sholcroft0@scientificamerican.com,sholcroft0,$1492345.10,NASDAQ
2,Urban,Attree,uattree1@usgs.gov,uattree1,$875873.89,NASDAQ
3,Coreen,Myott,cmyott2@webeden.co.uk,cmyott2,$1256657.89,NYSE
4,Aubry,Ilyushkin,ailyushkin3@edublogs.org,ailyushkin3,$111885.10,NASDAQ
5,Roxana,Challener,rchallener4@theguardian.com,rchallener4,$881155.14,NASDAQ
6,Delly,Ferier,dferier5@accuweather.com,dferier5,$1325137.07,NASDAQ
7,Rosamund,Martellini,rmartellini6@linkedin.com,rmartellini6,$756393.64,NYSE
8,Denise,Sharpus,dsharpus7@bigcartel.com,dsharpus7,$1130886.36,NASDAQ
9,Kendricks,Huleatt,khuleatt8@example.com,khuleatt8,$1159371.57,NYSE
10,Bernette,Asgodby,basgodby9@chron.com,basgodby9,$339207.42,NASDAQ
11,Shea,Thames,sthamesa@com.com,sthamesa,$270022.68,NASDAQ
12,Evan,Viles,evilesb@uol.com.br,evilesb,$303936.45,NYSE
13,Ariadne,Taile,atailec@woothemes.com,atailec,$545852.07,NYSE
14,Caprice,Himsworth,chimsworthd@stanford.edu,chimsworthd,$1492475.25,NASDAQ
15,Mignonne,Foote,mfootee@usgs.gov,mfootee,$268092.18,NASDAQ
16,Mavis,Withrington,mwithringtonf@booking.com,mwithringtonf,$747005.27,NYSE
17,Merv,Eveque,mevequeg@nasa.gov,mevequeg,$364230.95,NYSE
18,Marlin,Markos,mmarkosh@gmpg.org,mmarkosh,$1117730.68,NASDAQ
19,Ivor,Petracci,ipetraccii@ebay.co.uk,ipetraccii,$564022.84,NASDAQ
20,Sutherland,Dawdary,sdawdaryj@aboutads.info,sdawdaryj,$197510.73,NASDAQ
21,Langsdon,Dowsey,ldowseyk@blinklist.com,ldowseyk,$1220355.18,NYSE
22,Thorin,Ovens,tovensl@cbc.ca,tovensl,$951264.09,NYSE
23,Felic,Labell,flabellm@yolasite.com,flabellm,$1426044.86,NYSE
24,Isaak,Hawtrey,ihawtreyn@foxnews.com,ihawtreyn,$91087.93,NYSE
25,Nikolos,Quadri,nquadrio@ucoz.com,nquadrio,$199062.87,NASDAQ
26,Vinnie,Laight,vlaightp@google.ru,vlaightp,$758718.11,NYSE
27,Stephan,Shewon,sshewonq@networksolutions.com,sshewonq,$1073510.63,NASDAQ
28,Cullin,Gellier,cgellierr@comcast.net,cgellierr,$937911.80,NYSE
29,Kerstin,Chattington,kchattingtons@va.gov,kchattingtons,$410749.36,NYSE
30,Park,Giorgioni,pgiorgionit@microsoft.com,pgiorgionit,$80040.29,NYSE
31,Joyann,Stokey,jstokeyu@oracle.com,jstokeyu,$40572.46,NYSE
32,Margalit,MacCaghan,mmaccaghanv@simplemachines.org,mmaccaghanv,$583108.97,NASDAQ
33,Delainey,Tondeur,dtondeurw@yahoo.com,dtondeurw,$1281596.40,NYSE
34,Ladonna,Stanislaw,lstanislawx@twitter.com,lstanislawx,$9827.09,NASDAQ
35,Sherwood,Goucher,sgouchery@wsj.com,sgouchery,$25268.65,NASDAQ
36,Gratia,Gilardi,ggilardiz@cnn.com,ggilardiz,$1470591.83,NASDAQ
37,Tobias,Planque,tplanque10@mashable.com,tplanque10,$101325.48,NASDAQ
38,Ham,Arnault,harnault11@livejournal.com,harnault11,$1349660.45,NYSE
39,Lucius,Schiefersten,lschiefersten12@squarespace.com,lschiefersten12,$119151.46,NYSE
40,Maegan,Arnal,marnal13@adobe.com,marnal13,$695029.28,NASDAQ
41,Balduin,Drezzer,bdrezzer14@csmonitor.com,bdrezzer14,$525033.24,NYSE
42,Jaquenetta,Boldecke,jboldecke15@nasa.gov,jboldecke15,$1332777.56,NASDAQ
43,Dore,Eger,deger16@about.me,deger16,$1035826.14,NASDAQ
